SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,young_0.1,young_0.2,young_0.3,young_0.4,young_0.5,young_0.6,young_0.7,young_0.8,young_0.9,young_1.0,old_1.0,old_1.5,old_2.0
Acinonyx jubatus,Cheetah,Blood,5.2.1,Carnivora,53500.0,0.24109589,1.249315068,20.5,0.05021619,0.606333784,14,21.82944973,21.82944973,0.438895877,0.274735552,0.259553302,0.259553302,0.221575606,0.221575606,0.221575606,0.221575606,0.037175799,0.037175799,0.037175799
Acomys cahirinus,Spiny mouse,Fibroblast,9.9.5,Rodentia,45.2,0.104109589,0.160273973,5.9,-0.008822847,0.677501741,46,2.25577271,1.876600389,1.260544289,1.260544289,0.731707332,0.693801441,0.604077231,0.604077231,0.604077231,0.604077231,0.736270321,0.813772923,0.813772923
Acomys cahirinus,Spiny mouse,Skin,9.9.5,Rodentia,45.2,0.104109589,0.160273973,5.9,0.01346645,0.465753425,61,2.316649951,1.70412755,1.410209105,0.911640365,0.786703275,0.786703275,0.786703275,0.786703275,0.786703275,0.786703275,0.580093206,0.739758295,0.599235131
Antrozous pallidus,Pallid bat,Skin,8.7.1,Chiroptera,20.8,0.169863014,1.0,14.8,0.013513514,0.472972973,23,2.000545959,1.201219415,0.613058736,0.579249449,0.488544112,0.488544112,0.488544112,0.488544112,0.488544112,0.488544112,0.571246421,0.612108042,0.612108042
Aonyx cinereus,Asian small-clawed otter,Blood,5.6.1,Carnivora,3000.0,0.17260274,2.0,23.0,0.330077427,0.790434783,12,,,,1.829104728,0.118890289,0.138151418,0.138151418,0.213143219,0.213143219,0.213143219,0.213143219,0.213143219,0.213143219
Apodemus sylvaticus,Long-tailed field mouse,Blood,9.9.15,Rodentia,23.4,0.063013699,0.18630137,6.3,0.025657752,0.16612307,36,5.094306691,3.360816167,3.360816167,3.360816167,3.360816167,3.360816167,3.360816167,3.360816167,3.360816167,3.360816167,2.130673892,,
Apodemus sylvaticus,Long-tailed field mouse,Liver,9.9.15,Rodentia,23.4,0.063013699,0.18630137,6.3,0.025657752,0.112198304,23,1.903566118,1.588135867,1.588135867,1.588135867,1.588135867,1.588135867,1.588135867,1.588135867,1.588135867,1.588135867,-23.96770683,,
Apodemus sylvaticus,Long-tailed field mouse,Skin,9.9.15,Rodentia,23.4,0.063013699,0.18630137,6.3,0.025657752,0.16612307,31,3.379399454,2.348836658,2.348836658,2.348836658,2.348836658,2.348836658,2.348836658,2.348836658,2.348836658,2.348836658,-0.184177504,,
Balaena mysticetus,Bowhead whale,Skin,4.11.1,Artiodactyla,100000000.0,1.164383562,22.49863014,211.0,0.004739336,0.658767773,79,0.015622478,-0.020633796,-0.009019349,0.006085663,0.007187798,0.006175238,0.00745405,0.00745405,0.00745405,0.00745405,0.017623365,0.011850373,-0.00239387
Bos taurus,Cattle,Blood,4.1.4,Artiodactyla,750000.0,0.75890411,1.501369863,38.0,0.013410238,0.379596251,277,0.490876034,0.184698897,0.124537656,0.082355697,0.082355697,0.082355697,0.082355697,0.082355697,0.082355697,0.082355697,-0.025374145,-0.055289671,-0.202478044
Bos taurus,Cattle,Oocyte,4.1.4,Artiodactyla,750000.0,0.75890411,1.501369863,38.0,0.042682048,0.289185292,80,0.209424196,0.034915619,0.084112617,0.084112617,0.084112617,0.084112617,0.084112617,0.084112617,0.084112617,0.084112617,0.034936992,0.129282149,0.132222736
Bos taurus,Cattle,Skin,4.1.4,Artiodactyla,750000.0,0.75890411,1.501369863,38.0,0.045710166,0.207858688,95,0.055045616,0.272302281,0.28325522,0.28325522,0.28325522,0.28325522,0.28325522,0.28325522,0.28325522,0.28325522,0.397689936,0.469406961,
Callithrix jacchus,Common marmoset,Blood,1.8.2,Primates,255.2,0.394520548,1.176712329,22.8,0.021929825,0.683333333,95,0.827485999,0.515005471,0.280067998,0.238269981,0.224224336,0.200637235,0.197598886,0.197598886,0.197598886,0.197598886,0.199940308,0.206871902,0.266796089
Canis lupus familiaris,Dog,Blood,5.1.1,Carnivora,26625.0,0.169863014,1.832876712,24.0,0.004166667,0.729166667,742,0.761410544,0.465431146,0.33536017,0.281248221,0.235007631,0.205999624,0.190888299,0.189961192,0.189961192,0.189961192,0.193085779,0.191734778,0.186688931
Capra hircus,Domestic goat,Skin,4.1.5,Artiodactyla,61000.0,0.424657534,1.494520548,20.8,0.043993678,0.410958904,78,1.219825086,0.574483158,0.396075829,0.29510407,0.290502545,0.290502545,0.290502545,0.290502545,0.290502545,0.290502545,0.243501633,0.158689448,0.185827555
Capreolus capreolus,Roe deer,Blood,4.3.1,Artiodactyla,21666.7,0.419178082,1.463013699,17.5,0.038095238,0.780952381,188,2.098036928,1.006602259,0.566008073,0.394940755,0.294208188,0.257105113,0.23732178,0.225879174,0.225879174,0.225879174,0.178857307,0.164152143,0.167474087
Carollia perspicillata,Seba's short-tailed bat,Skin,8.4.2,Chiroptera,15.0,0.260273973,0.74,17.0,0.011764706,0.617647059,32,1.220226596,0.772118124,0.456915586,0.38017939,0.295908751,0.244383845,0.231309955,0.231309955,0.231309955,0.231309955,0.241601664,0.220553785,0.220553785
Ceratotherium simum simum,White rhino,Blood,6.2.1,Perissodactyla,2175000.0,1.410958904,4.501369863,45.0,0.00699673,0.659213628,23,0.807417824,0.21218131,0.148867964,0.142719656,0.140253352,0.091891556,0.082759187,0.082759187,0.082759187,0.082759187,0.068792726,0.068792726,0.053546089
Cervus canadensis,Wapity elk,Blood,4.3.5,Artiodactyla,280093.29,0.687671233,2.0,25.0,0.003835616,0.547068493,42,0.687155797,0.258467608,0.224970808,0.202346693,0.163890332,0.154880481,0.154880481,0.154880481,0.154880481,0.154880481,0.121956689,0.115087981,0.068969676
Cervus elaphus,Red deer,Blood,4.3.2,Artiodactyla,200000.0,0.671232877,2.167123288,31.5,0.002696238,0.344161774,53,0.437176017,0.265496834,0.212850995,0.173553717,0.173553717,0.173553717,0.173553717,0.173553717,0.173553717,0.173553717,0.12375159,0.149653741,-0.025880646
Cheirogaleidae,Cheirogaleidae,Blood,1.6,Primates,248.9333333,0.193150685,0.921917808,22.73333333,0.020674487,1.302932551,6,,0.375400917,0.375400917,0.375400917,0.130049663,0.130049663,0.062485726,0.062485726,0.062485726,0.074499017,0.073198262,0.073198262,0.10541716
Cheirogaleus medius,Fat-tailed dwarf lemur,Blood&Skin,1.6.1,Primates,380.0,0.167123288,1.0,30.0,0.033,0.987333333,3,,,,,,,,,,0.052247283,,,
Chlorocebus aethiops sabaeus,Vervet,Blood,1.4.1,Primates,5620.0,0.443835616,3.916438356,30.8,8.9e-05,0.812399929,144,0.804481233,0.43937302,0.263004821,0.176801181,0.148983658,0.118270793,0.106028412,0.102423925,0.100360347,0.100360347,0.090070398,0.079467709,0.084172789
Chlorocebus aethiops sabaeus,Vervet,Cortex,1.4.1,Primates,5620.0,0.443835616,3.916438356,30.8,0.0,0.743728874,48,0.926960214,0.701870374,0.311157006,0.311157006,0.311157006,0.217569837,0.171536294,0.14370317,0.14370317,0.14370317,0.111992878,0.10953413,0.114220112
Chlorocebus aethiops sabaeus,Vervet,Liver,1.4.1,Primates,5620.0,0.443835616,3.916438356,30.8,0.0,0.708503825,48,1.554330485,0.752676401,0.362130919,0.362130919,0.362130919,0.27226968,0.182989627,0.161830336,0.161830336,0.161830336,0.134139774,0.134139774,0.137089102
Chrysocyon brachyurus,Maned wolf,Blood,5.1.3,Carnivora,21500.0,0.175342466,2.0,16.8,0.282585313,0.810925329,5,,,,,0.503619014,0.503619014,0.503619014,0.503619014,0.243295304,0.243295304,0.243295304,0.243295304,0.243295304
Connochaetes taurinus albojubatus,White-bearded gnu,Blood,4.1.6,Artiodactyla,164500.0,0.693150685,1.812328767,24.3,0.288065844,0.780658436,10,,,,1.381106161,0.489100625,0.341436404,0.23228672,0.183448508,0.183448508,0.183448508,0.183448508,0.183448508,0.183448508
Crocuta crocuta,Spotted hyena,Blood,5.5.1,Carnivora,63000.0,0.301369863,2.375342466,41.1,0.032116788,0.426034063,6,0.536894102,0.536894102,0.536894102,0.536894102,0.130703586,0.130703586,0.130703586,0.130703586,0.130703586,0.130703586,,,
Cynopterus brachyotis,Lesser short-nosed fruit bat,Skin,8.5.1,Chiroptera,45.0,0.306849315,0.69,13.0,0.515384615,0.992307692,10,,,,,,,,-0.229690665,0.264674909,0.272845494,0.272845494,0.272845494,0.272845494
Daubentonia madagascariensis,Aye-aye,Blood,1.9.1,Primates,2277.5,0.452054795,4.25,37.0,0.018918919,0.991081081,3,,,,,,,,,,0.052410609,,,
Daubentonia madagascariensis,Aye-aye,Blood&Skin,1.9.1,Primates,2277.5,0.452054795,4.25,37.0,0.018918919,0.991081081,4,,,,,,,,,0.058873516,0.057169887,0.082596963,0.082596963,0.082596963
Daubentoniidae,Daubentoniidae,Blood,1.9,Primates,2277.5,0.452054795,4.25,37.0,0.018918919,0.991081081,3,,,,,,,,,,0.052410609,,,
